Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Leeds Central and Headingley,E14001319,17178.19029,22997.47694,0.427576976,0.572423024
Leeds East,E14001320,28980.87115,21128.35284,0.57835402,0.42164598
Leeds North East,E14001321,17764.68281,31945.81808,0.35736278,0.64263722
Leeds North West,E14001322,23326.95132,31221.68828,0.427635803,0.572364197
Leeds South,E14001323,28211.25122,23845.18601,0.541935882,0.458064118
Leeds South West and Morley,E14001324,28435.53141,19463.90214,0.593650682,0.406349318
Leeds West and Pudsey,E14001325,23979.37841,21537.5842,0.526822904,0.473177096
Leicester East,E14001326,21975.1291,19981.82553,0.52375415,0.47624585
Leicester South,E14001327,18557.9031,25203.07636,0.424074217,0.575925783
Leicester West,E14001328,27458.9678,25795.09811,0.515621997,0.484378003
Leigh and Atherton,E14001329,33753.20506,18587.81137,0.644871028,0.355128972
Lewes,E14001330,28924.84241,30603.41524,0.485901042,0.514098958
Lewisham East,E14001331,17780.65184,29503.92555,0.376034911,0.623965089
Lewisham North,E14001332,11173.47934,34439.9584,0.244960255,0.755039745
Lewisham West and East Dulwich,E14001333,11398.57311,36700.63834,0.236980457,0.763019543
Leyton and Wanstead,E14001334,18679.19592,33748.22106,0.356286787,0.643713214
Lichfield,E14001335,33421.16589,24419.46419,0.577814693,0.422185307
Lincoln,E14001336,29546.09825,21732.82502,0.576184061,0.423815939
Liverpool Garston,E14001337,15488.57235,25065.18723,0.381926917,0.618073084
Liverpool Riverside,E14001338,19862.16828,25834.71584,0.434650385,0.565349615
Liverpool Walton,E14001339,23612.89069,21475.79954,0.52369875,0.476301251
Liverpool Wavertree,E14001340,14976.74772,31458.18558,0.32253191,0.67746809
Liverpool West Derby,E14001341,19402.66753,21620.2091,0.472971891,0.527028109
Livingston,S14000095,21182.54809,28035.29562,0.430383505,0.569616495
Llanelli,W07000098,26971.22086,21498.65168,0.556453307,0.443546693
Lothian East,S14000096,16583.86495,31389.18475,0.34569128,0.65430872
Loughborough,E14001342,24206.3164,23946.25154,0.502700426,0.497299574
Louth and Horncastle,E14001343,37904.02475,17920.14225,0.678989527,0.321010473
Lowestoft,E14001344,33430.35858,18458.38089,0.644270008,0.355729992
Luton North,E14001345,27824.8777,19132.20643,0.592559743,0.407440257
Luton South and South Bedfordshire,E14001346,25076.02815,21243.6916,0.541368305,0.458631695
Macclesfield,E14001347,26773.96466,30814.75586,0.464916817,0.535083183
Maidenhead,E14001348,24669.53323,28266.47353,0.46602558,0.53397442
Maidstone and Malling,E14001349,30084.97438,22724.48731,0.569689094,0.430310906
Makerfield,E14001350,35016.71557,18149.99477,0.658621069,0.341378932
Maldon,E14001351,37776.88182,24128.08484,0.610239919,0.389760081
Manchester Central,E14001352,20978.8758,25687.48145,0.449550319,0.550449681
Manchester Rusholme,E14001353,10098.21781,21374.64015,0.320854808,0.679145192
Manchester Withington,E14001354,9626.319854,33509.27467,0.223164186,0.776835814
Mansfield,E14001355,38684.2692,15944.79337,0.708126177,0.291873824
Melksham and Devizes,E14001356,27587.60245,27641.5642,0.499511474,0.500488526
Melton and Syston,E14001357,31605.4042,21494.14092,0.595210451,0.404789549
Meriden and Solihull East,E14001358,31707.34977,24763.70554,0.561479675,0.438520325
Merthyr Tydfil and Aberdare,W07000099,26949.89259,21629.68037,0.554757709,0.445242291
Mid Bedfordshire,E14001359,30121.02945,25292.31323,0.543569978,0.456430022
Mid Buckinghamshire,E14001360,26827.0317,29942.0083,0.472564477,0.527435523
Mid Cheshire,E14001361,26333.62706,20293.04494,0.564776038,0.435223962
Mid Derbyshire,E14001362,28571.75894,26086.55145,0.522734031,0.477265969
Mid Dorset and North Poole,E14001363,32672.11667,24682.17183,0.569654293,0.430345707
Mid Dunbartonshire,S14000097,15353.91102,41062.09626,0.272155223,0.727844777
Mid Leicestershire,E14001364,33237.95345,24798.43331,0.57270887,0.427291131
Mid Norfolk,E14001365,29553.00235,17201.72958,0.632085805,0.367914196
Mid Sussex,E14001366,24998.05448,30466.8101,0.450700721,0.549299279
Mid and South Pembrokeshire,W07000100,32076.21103,22967.96522,0.582735781,0.417264219
Middlesbrough South and East Cleveland,E14001368,28938.87493,14881.35363,0.660399908,0.339600092
Middlesbrough and Thornaby East,E14001367,31608.26077,16633.04174,0.655211595,0.344788405
Midlothian,S14000045,17251,28217,0.379409695,0.620590305
Milton Keynes Central,E14001369,24717.22242,26842.11812,0.479393688,0.520606312
Milton Keynes North,E14001370,26168.82607,25454.244,0.506921151,0.49307885
Mitcham and Morden,E14001371,24189.46416,25511.4082,0.486700998,0.513299002
Monmouthshire,W07000101,27569,28061,0.495577926,0.504422074
Montgomeryshire and Glyndwr,W07000102,31578.66,22210.40668,0.587083249,0.412916752
"Moray West, Nairn and Strathspey",S14000098,23904.63053,28088.40493,0.459766011,0.540233989
Morecambe and Lunesdale,E14001372,30699.77983,27721.05647,0.525493673,0.474506327
"Motherwell, Wishaw and Carluke",S14000099,16037.31986,28365.77718,0.361175705,0.638824296
Na h-Eileanan an Iar,S14000027,6671,8232,0.447627994,0.552372006
Neath and Swansea East,W07000103,28433.55686,22080.79554,0.562880756,0.437119244
New Forest East,E14001373,34665.77575,22549.14574,0.605886976,0.394113024
New Forest West,E14001374,29875.22425,24649.85426,0.547917125,0.452082875
Newark,E14001375,32274.09824,25349.09773,0.560088654,0.439911347
Newbury,E14001376,26940.38975,28472.09658,0.486179046,0.513820954
Newcastle upon Tyne Central and West,E14001377,33422.01862,28565.01089,0.539177613,0.460822387
Newcastle upon Tyne East and Wallsend,E14001378,27028.3,21385.23536,0.558279824,0.441720176
Newcastle upon Tyne North,E14001379,20030.96425,27172.81443,0.424350864,0.575649136
Newcastle-under-Lyme,E14001380,31949.07899,19834.76407,0.616970026,0.383029974
Newport East,W07000104,28722.39467,19981.49697,0.589735105,0.410264895
Newport West and Islwyn,W07000105,28500.56907,24005.76725,0.542802471,0.45719753
Newton Abbot,E14001381,31497.50102,24805.72286,0.559426243,0.440573757
Newton Aycliffe and Spennymoor,E14001382,28184.20647,18399.00792,0.605029233,0.394970767
Normanton and Hemsworth,E14001383,37317.02801,16249.12605,0.696653114,0.303346886
North Ayrshire and Arran,S14000048,20296.63887,28423.64527,0.416595248,0.583404752
North Bedfordshire,E14001384,28976.27623,25555.15547,0.531368338,0.468631662
North Cornwall,E14001385,34937.5344,23463.26245,0.598237289,0.401762711
North Cotswolds,E14001386,24482.89636,27183.19054,0.473867828,0.526132172
North Devon,E14001387,33100,24931,0.570384794,0.429615206
North Dorset,E14001388,31348.73369,24241.11623,0.563929094,0.436070906
North Durham,E14001389,29437.72922,21167.41843,0.581714126,0.418285874
North East Cambridgeshire,E14001390,37571,15055,0.713924676,0.286075324
North East Derbyshire,E14001391,33668.20636,20629.25669,0.620069603,0.379930397
North East Fife,S14000100,22650.56887,31374.21667,0.419262541,0.580737459
North East Hampshire,E14001392,26779.23729,32086.19837,0.454922944,0.545077056
North East Hertfordshire,E14001393,29835.77102,28959.40841,0.507452674,0.492547326
North East Somerset and Hanham,E14001394,29144.95537,26520.72024,0.523571394,0.476428606
North Herefordshire,E14001395,32996.27401,24304.96507,0.575838752,0.424161248
North Norfolk,E14001396,31318.44004,22356.20577,0.583486664,0.416513336
North Northumberland,E14001397,28051.91634,25325.87091,0.525535392,0.474464608
North Shropshire,E14001398,32838.16024,21687.13775,0.602255493,0.397744507
North Somerset,E14001399,27916.17132,31731.89077,0.468014724,0.531985276
North Warwickshire and Bedworth,E14001400,36294.96963,17054.40038,0.680326115,0.319673885
North West Cambridgeshire,E14001401,30493.06953,20724.7903,0.595360088,0.404639912
North West Essex,E14001402,29090.13269,27731.02859,0.511959489,0.488040511
North West Hampshire,E14001403,29977.00384,25449.63631,0.540841079,0.459158922
North West Leicestershire,E14001404,33128.55953,21340.5239,0.6082085,0.3917915
North West Norfolk,E14001405,37496.87876,20237.35248,0.649473942,0.350526058
Northampton North,E14001406,31887.77955,22082.82748,0.590836037,0.409163963
Northampton South,E14001407,29566.22045,21722.17252,0.576470011,0.423529989
Norwich North,E14001408,29322.1212,22340.35895,0.567570916,0.432429084
Norwich South,E14001409,20358.41657,29703.62971,0.406663692,0.593336308
Nottingham East,E14001410,16872.26817,25107.1923,0.401917223,0.598082777
Nottingham North and Kimberley,E14001411,27455.83637,19469.66582,0.585094141,0.41490586
Nottingham South,E14001412,22429.56663,18948.68236,0.542061764,0.457938236
Nuneaton,E14001413,32386.87478,18115.30344,0.641296592,0.358703408
Old Bexley and Sidcup,E14001414,36323.93571,21379.28218,0.629495842,0.370504158
Oldham East and Saddleworth,E14001415,30586.35291,21992.85505,0.581719545,0.418280456
"Oldham West, Chadderton and Royton",E14001416,27634.1232,17202.70668,0.616326428,0.383673572
Orkney and Shetland,S14000051,9508,14096,0.402813083,0.597186918
Orpington,E14001417,32137.91493,25108.15876,0.561399461,0.438600539
Ossett and Denby Dale,E14001418,29458.46017,23251.00509,0.558883685,0.441116315
Oxford East,E14001419,15063.19785,31880.31732,0.320879206,0.679120795
Oxford West and Abingdon,E14001420,22082.12619,39163.71558,0.360548987,0.639451013
Paisley and Renfrewshire North,S14000101,15221.8885,27268.7377,0.358241096,0.641758904
Paisley and Renfrewshire South,S14000102,16345.71869,28557.91974,0.364017689,0.635982311
Peckham,E14001421,11827.34193,25054.16991,0.320684846,0.679315154
Pendle and Clitheroe,E14001422,33855.70182,21306.84946,0.613744307,0.386255693
Penistone and Stocksbridge,E14001423,28000.05742,19192.37855,0.593316637,0.406683363
Penrith and Solway,E14001424,30609.38634,25277.44064,0.547703063,0.452296937
Perth and Kinross-shire,S14000103,20515.9384,33829.48875,0.37750993,0.62249007
Peterborough,E14001425,32365.3351,19896.25293,0.619294903,0.380705097
Plymouth Moor View,E14001426,34970.16846,18451.83712,0.654602314,0.345397686
Plymouth Sutton and Devonport,E14001427,24741.55717,21543.74318,0.534544596,0.465455404
"Pontefract, Castleford and Knottingley",E14001428,34653.49503,13930.49052,0.713269911,0.286730089
Pontypridd,W07000106,25239.6552,24683.09627,0.505574201,0.494425799
Poole,E14001429,30206.02189,22778.54596,0.570090936,0.429909064
Poplar and Limehouse,E14001430,14445.23691,30579.50889,0.320828839,0.679171161
Portsmouth North,E14001431,33884.4328,19198.12045,0.638334645,0.361665355
Portsmouth South,E14001432,23451.5672,22185.87955,0.513866767,0.486133233
Preston,E14001433,27686.22008,21892.04025,0.558434683,0.441565317
Putney,E14001434,14211.98124,38840.106,0.267887316,0.732112684
Queen's Park and Maida Vale,E14001435,15234.34514,27804.75063,0.35396527,0.64603473
Rawmarsh and Conisbrough,E14001436,34232.41999,14329.08321,0.704929167,0.295070833
Rayleigh and Wickford,E14001437,41015.29934,18871.54595,0.684879946,0.315120054
Reading Central,E14001438,18113.47166,32126.08173,0.360542052,0.639457948
Reading West and Mid Berkshire,E14001439,26110.23823,26755.10915,0.493900816,0.506099184
Redcar,E14001440,33246.64392,16522.7708,0.66801356,0.33198644
Redditch,E14001441,32524.90948,20673.03913,0.611394054,0.388605946
Reigate,E14001442,29537.46352,32228.53902,0.47821556,0.52178444
Rhondda and Ogmore,W07000107,28805.42263,18393.59377,0.610297096,0.389702904
Ribble Valley,E14001443,30160.09357,24348.53411,0.55330862,0.44669138
Richmond Park,E14001445,17317.21052,45064.47924,0.277600857,0.722399143
Richmond and Northallerton,E14001444,29799.73131,25324.48645,0.540592366,0.459407634
Rochdale,E14001446,24984.40925,18740.9743,0.571393713,0.428606287
Rochester and Strood,E14001447,31209.52593,17827.40773,0.636449378,0.363550622
Romford,E14001448,37930.40466,17815.88596,0.680411275,0.319588725
Romsey and Southampton North,E14001449,27553.88413,30271.239,0.476503683,0.523496317
Rossendale and Darwen,E14001450,32409.63006,22345.24353,0.591904025,0.408095975
Rother Valley,E14001451,34160.65493,17108.31354,0.666302755,0.333697245
Rotherham,E14001452,35153.12709,16614.00155,0.679062718,0.320937282
Rugby,E14001453,32070.12311,22406.66261,0.58869338,0.41130662
"Ruislip, Northwood and Pinner",E14001454,26201.58692,28617.462,0.477965004,0.522034996
Runcorn and Helsby,E14001455,27415.7244,23595.50488,0.537444888,0.462555112
Runnymede and Weybridge,E14001456,28465.57462,28406.46925,0.500519635,0.499480365
Rushcliffe,E14001457,24978.02594,34761.12591,0.418118188,0.581881812
Rutherglen,S14000104,16778.87928,28192.95787,0.373097484,0.626902516
Rutland and Stamford,E14001458,27760.47563,25665.03051,0.519610906,0.480389094
Salford,E14001459,24021.7726,20658.30424,0.537639465,0.462360535
Salisbury,E14001460,26114.37466,28637.17353,0.476961392,0.523038608
Scarborough and Whitby,E14001461,32986.73741,20979.91043,0.611243031,0.388756969
Scunthorpe,E14001462,35576.66495,17004.96784,0.676598711,0.323401289
Sefton Central,E14001463,21966.23282,30563.57906,0.418166981,0.58183302
Selby,E14001464,33331.35197,21541.58849,0.607427845,0.392572155
Sevenoaks,E14001465,32185.31027,26220.96053,0.551059156,0.448940844
Sheffield Brightside and Hillsborough,E14001466,27708.50008,20367.31835,0.576350044,0.423649956
Sheffield Central,E14001467,8389.963546,19708.5298,0.298591225,0.701408775
Sheffield Hallam,E14001468,18261.12215,33802.08901,0.350749056,0.649250944
Sheffield Heeley,E14001469,27876.17761,25799.70762,0.519342671,0.480657329
Sheffield South East,E14001470,37147.90535,20178.5717,0.648006074,0.351993926
Sherwood Forest,E14001471,35322.82957,21244.59103,0.624437692,0.375562308
Shipley,E14001472,25162.55114,25337.10404,0.498271742,0.501728258
Shrewsbury,E14001473,28996.03808,25685.90453,0.530267154,0.469732846
Sittingbourne and Sheppey,E14001474,36794.89663,18780.89745,0.662066953,0.337933047
Skipton and Ripon,E14001475,31665.24731,28485.32625,0.526433007,0.473566993
Sleaford and North Hykeham,E14001476,34760.41629,20817.32193,0.625437764,0.374562237
Slough,E14001477,25032.08283,21611.64423,0.53666558,0.46333442
Smethwick,E14001478,30296.81503,17957.52714,0.627856762,0.372143238
Solihull West and Shirley,E14001479,27822.70379,24715.89518,0.529566915,0.470433085
South Basildon and East Thurrock,E14001480,38192.16243,13380.54061,0.740549946,0.259450054
South Cambridgeshire,E14001481,24019.79402,36600.70819,0.396232185,0.603767815
South Cotswolds,E14001482,27204.75609,29502.82403,0.479737559,0.520262441
South Derbyshire,E14001483,30735.12532,19063.94358,0.61718273,0.38281727
South Devon,E14001484,30611.68753,26793.52898,0.533256199,0.466743802
South Dorset,E14001485,34576.06414,22985.54763,0.600679221,0.399320779
South East Cornwall,E14001486,29501.40031,24101.43446,0.550370152,0.449629848
South Holland and the Deepings,E14001487,40915.04135,16426.40572,0.713533464,0.286466536
South Leicestershire,E14001488,32399.95362,24563.31861,0.568786735,0.431213265
South Norfolk,E14001489,24031.39671,26248.78701,0.47794966,0.52205034
South Northamptonshire,E14001490,32289.76416,26768.85942,0.546740886,0.453259114
South Ribble,E14001491,31024.74481,23830.28724,0.565577006,0.434422994
South Shields,E14001492,30724.87896,20246.0366,0.602792369,0.397207631
South Shropshire,E14001493,34078.37212,25999.47101,0.567236944,0.432763056
South Suffolk,E14001494,29933,25309,0.541852214,0.458147786
South West Devon,E14001495,32082.88108,26579.01376,0.546911776,0.453088224
South West Hertfordshire,E14001496,28710.96387,27518.46506,0.510603867,0.489396133
South West Norfolk,E14001497,39202.97352,19751.3664,0.6649718,0.3350282
South West Wiltshire,E14001498,30964.95909,23059.12172,0.573169569,0.426830431
Southampton Itchen,E14001499,28940.92937,19734.10956,0.594574345,0.405425656
Southampton Test,E14001500,23707.26553,23516.01724,0.502024936,0.497975064
Southend East and Rochford,E14001501,28813.65869,19245.93899,0.599540156,0.400459844
Southend West and Leigh,E14001502,32942.43207,23716.20605,0.581419412,0.418580588
Southgate and Wood Green,E14001503,18187.68124,31655.41583,0.364898698,0.635101302
Southport,E14001504,23758.65543,24849.90702,0.488775109,0.511224891
Spelthorne,E14001505,34135,22474,0.60299599,0.39700401
Spen Valley,E14001506,30979.81096,20676.08552,0.599734262,0.400265738
St Albans,E14001507,20687.54204,35058.96121,0.371100263,0.628899737
St Austell and Newquay,E14001508,34930.33787,18986.90194,0.647851003,0.352148997
St Helens North,E14001509,29553.22619,21163.1197,0.582716,0.417284
St Helens South and Whiston,E14001510,27485.97539,20866.68153,0.568448088,0.431551912
St Ives,E14001511,30008.65162,24811.22291,0.547404602,0.452595398
St Neots and Mid Cambridgeshire,E14001512,25285.8324,30188.40133,0.455812198,0.544187802
Stafford,E14001513,29592.01342,22710.74314,0.565783056,0.434216944
Staffordshire Moorlands,E14001514,34802.74989,18884.42526,0.648250719,0.351749281
Stalybridge and Hyde,E14001515,27348.29887,19873.63095,0.579144033,0.420855967
Stevenage,E14001516,30057.48355,22539.38302,0.571469091,0.428530909
Stirling and Strathallan,S14000105,17420.85097,35982.51111,0.326212626,0.673787374
Stockport,E14001517,24893.01158,26743.56916,0.482080944,0.517919056
Stockton North,E14001518,31766.73849,16500.29618,0.658145641,0.341854359
Stockton West,E14001519,27388.22462,22601.36526,0.547878562,0.452121438
Stoke-on-Trent Central,E14001520,34609.15771,15904.92551,0.685138787,0.314861213
Stoke-on-Trent North,E14001521,34273.94065,13397.69344,0.718958796,0.281041204
Stoke-on-Trent South,E14001522,31271.13519,16632.70876,0.652789685,0.347210315
"Stone, Great Wyrley and Penkridge",E14001523,33728.46318,20053.93998,0.627128228,0.372871772
Stourbridge,E14001524,32248.58521,18403.01166,0.636674601,0.363325399
Stratford and Bow,E14001525,17150.94706,26407.26464,0.393747732,0.606252268
Stratford-on-Avon,E14001526,29174.59419,28375.3747,0.5069437,0.4930563
Streatham and Croydon North,E14001527,16879.50216,32613.1589,0.341050608,0.658949392
Stretford and Urmston,E14001528,23944.59817,24941.18211,0.489807016,0.510192984
Stroud,E14001529,27822.36572,30984.21039,0.473116572,0.526883428
Suffolk Coastal,E14001530,32013.25224,27679.23523,0.536302868,0.463697132
Sunderland Central,E14001531,30960.73091,21973.08277,0.58489515,0.41510485
Surrey Heath,E14001532,28667.3393,27570.60234,0.509750863,0.490249137
Sussex Weald,E14001533,29821.11484,25116.04306,0.542822308,0.457177692
Sutton Coldfield,E14001535,24986.64094,28793.37423,0.464608291,0.535391709
Sutton and Cheam,E14001534,27833.57623,25795.1622,0.519004867,0.480995134
Swansea West,W07000108,24090.20905,22058.65789,0.522010846,0.477989155
Swindon North,E14001536,29494.66954,21860.30083,0.574329404,0.425670596
Swindon South,E14001537,28107.28401,24844.60825,0.530807924,0.469192076
Tamworth,E14001538,36495.58357,19073.39264,0.656761849,0.343238151
Tatton,E14001539,25196.8971,32048.748,0.440153955,0.559846045
Taunton and Wellington,E14001540,30687.66596,26454.56958,0.537039996,0.462960004
Telford,E14001541,31120.9605,15846.41395,0.662608052,0.337391948
Tewkesbury,E14001542,30063.15623,26361.99854,0.532797054,0.467202946
The Wrekin,E14001543,33781.46906,22722.07277,0.597864629,0.402135371
Thirsk and Malton,E14001544,31811.55899,22934.04503,0.581079697,0.418920303
Thornbury and Yate,E14001545,30076.34123,28565.21913,0.512884396,0.487115605
Thurrock,E14001546,35816.90401,15591.8275,0.696708574,0.303291426
Tipton and Wednesbury,E14001547,35265.44365,14572.48845,0.707602466,0.292397534
Tiverton and Minehead,E14001548,30871.68661,23793.41427,0.56474215,0.43525785
Tonbridge,E14001549,30615.10521,27039.66244,0.531007347,0.468992653
Tooting,E14001550,13825.53278,40454.78969,0.254706165,0.745293835
Torbay,E14001551,33980.47927,20390.27207,0.624977188,0.375022812
Torfaen,W07000109,28781,19363,0.597810735,0.402189266
Torridge and Tavistock,E14001552,34425.34649,24484.62718,0.584372125,0.415627875
Tottenham,E14001553,14622.37613,28419.44073,0.339724881,0.660275119
Truro and Falmouth,E14001554,24462.86551,27697.81451,0.46899054,0.53100946
Tunbridge Wells,E14001555,26302.18677,32704.61456,0.445748391,0.554251609
Twickenham,E14001556,19069.35614,39958.0812,0.323059191,0.676940809
Tynemouth,E14001557,26429.69637,30176.99791,0.466900544,0.533099456
Uxbridge and South Ruislip,E14001558,30645.53743,22333.08765,0.578450977,0.421549023
Vale of Glamorgan,W07000110,26547.97177,23663.15296,0.528726889,0.471273111
Vauxhall and Camberwell Green,E14001559,9557.832348,29955.71737,0.241887464,0.758112536
Wakefield and Rothwell,E14001560,30270.05651,18760.34159,0.617373256,0.382626744
Wallasey,E14001561,25727.20336,22729.23989,0.530934622,0.469065379
Walsall and Bloxwich,E14001562,31901.84407,17213.10149,0.649534347,0.350465653
Walthamstow,E14001563,15777.6433,28115.38065,0.35945674,0.64054326
Warrington North,E14001564,30344.41682,22168.10198,0.577851101,0.422148899
Warrington South,E14001565,29085.75263,26099.61559,0.527055514,0.472944486
Warwick and Leamington,E14001566,22288.1852,30854.61692,0.419401769,0.580598231
Washington and Gateshead South,E14001567,26309.05899,15286.15664,0.632502046,0.367497954
Watford,E14001568,25969.36824,25493.97656,0.504618741,0.495381259
Waveney Valley,E14001569,32626.10691,26017.62772,0.55634429,0.44365571
Weald of Kent,E14001570,29859.65693,23444.15713,0.560178619,0.439821381
Wellingborough and Rushden,E14001571,34057.71122,18464.47776,0.648444246,0.351555754
Wells and Mendip Hills,E14001572,26029.40702,27707.75204,0.484383757,0.515616243
Welwyn Hatfield,E14001573,29105.08133,26067.91641,0.527524016,0.472475984
West Aberdeenshire and Kincardine,S14000058,20939.05185,32635.0676,0.390842669,0.609157331
West Bromwich,E14001574,33235.15701,15756.267,0.678387242,0.321612758
West Dorset,E14001575,29696.59728,29465.00252,0.501957306,0.498042694
West Dunbartonshire,S14000106,17149.71017,27463.61219,0.384407824,0.615592176
West Ham and Beckton,E14001576,22139.67198,20435.27873,0.520016386,0.479983615
West Lancashire,E14001577,29553.26184,24535.25883,0.54638695,0.45361305
West Suffolk,E14001578,35306.31117,20701.48158,0.630382121,0.369617879
West Worcestershire,E14001579,31657.88639,28565.24334,0.525676539,0.474323461
Westmorland and Lonsdale,E14001580,27611.85236,28920.81253,0.488422975,0.511577025
Weston-super-Mare,E14001581,29592.70273,19961.55796,0.597177767,0.402822233
Wetherby and Easingwold,E14001582,26246.56599,28396.37396,0.480328584,0.519671416
Whitehaven and Workington,E14001583,32289.57211,18849.31198,0.6314094,0.3685906
Widnes and Halewood,E14001584,24850.13803,20873.42295,0.543486498,0.456513502
Wigan,E14001585,31638.15216,19716.87647,0.616067268,0.383932733
Wimbledon,E14001586,17594.95211,42406.20438,0.29324355,0.70675645
Winchester,E14001587,24477.43656,37218.65435,0.396742098,0.603257902
Windsor,E14001588,26705.9063,28205.75851,0.486343046,0.513656955
Wirral West,E14001589,23016.39767,34781.705,0.398220644,0.601779356
Witham,E14001590,34982.79577,22978.54522,0.603553941,0.396446059
Witney,E14001591,25140.36411,28361.41035,0.469897763,0.530102238
Woking,E14001592,24214,31007,0.438492603,0.561507398
Wokingham,E14001593,23288.16085,33583.16233,0.409488641,0.590511359
Wolverhampton North East,E14001594,33339.58209,14492.57105,0.697011945,0.302988055
Wolverhampton South East,E14001595,34097.6265,14707.18656,0.698652948,0.301347053
Wolverhampton West,E14001596,30434.5848,24255.42189,0.556492614,0.443507386
Worcester,E14001597,29114,25125,0.536772433,0.463227567
Worsley and Eccles,E14001598,29360.56212,19612.68855,0.599522428,0.400477573
Worthing West,E14001599,31056.17028,25649.99885,0.547668283,0.452331717
Wrexham,W07000111,29828.75451,22321.27982,0.571979576,0.428020424
Wycombe,E14001600,23007.97096,24769.87796,0.481561466,0.518438534
Wyre Forest,E14001601,36392,21240,0.631454747,0.368545253
Wythenshawe and Sale East,E14001602,24200.25378,26551.90406,0.476832017,0.523167983
Yeovil,E14001603,35721.19811,24229.29886,0.595844904,0.404155096
Ynys Mon,W07000112,19333,18618,0.509420042,0.490579958
York Central,E14001604,20369.30136,31631.36574,0.391712309,0.608287691
York Outer,E14001605,25613.69864,31985.63426,0.444687418,0.555312582
