Post-2019 Westminster Parliamentary constituencies Code,Post-2019 Westminster Parliamentary constituencies,Welsh language skills (6 categories) Code,Welsh language skills (6 categories),Observation
W07000081,Aberafan Maesteg,-8,Does not apply,2707
W07000081,Aberafan Maesteg,0,Can understand spoken Welsh only,3780
W07000081,Aberafan Maesteg,1,"Can speak, read and write Welsh",6157
W07000081,Aberafan Maesteg,2,Can speak and other combinations of skills in Welsh,1829
W07000081,Aberafan Maesteg,3,Other combination of skills in Welsh,2124
W07000081,Aberafan Maesteg,4,No skills in Welsh,75977
W07000082,Alyn and Deeside,-8,Does not apply,3023
W07000082,Alyn and Deeside,0,Can understand spoken Welsh only,4257
W07000082,Alyn and Deeside,1,"Can speak, read and write Welsh",6839
W07000082,Alyn and Deeside,2,Can speak and other combinations of skills in Welsh,2611
W07000082,Alyn and Deeside,3,Other combination of skills in Welsh,1927
W07000082,Alyn and Deeside,4,No skills in Welsh,83416
W07000083,Bangor Aberconwy,-8,Does not apply,2344
W07000083,Bangor Aberconwy,0,Can understand spoken Welsh only,9355
W07000083,Bangor Aberconwy,1,"Can speak, read and write Welsh",27614
W07000083,Bangor Aberconwy,2,Can speak and other combinations of skills in Welsh,6695
W07000083,Bangor Aberconwy,3,Other combination of skills in Welsh,2379
W07000083,Bangor Aberconwy,4,No skills in Welsh,43875
W07000084,Blaenau Gwent and Rhymney,-8,Does not apply,3054
W07000084,Blaenau Gwent and Rhymney,0,Can understand spoken Welsh only,2281
W07000084,Blaenau Gwent and Rhymney,1,"Can speak, read and write Welsh",5028
W07000084,Blaenau Gwent and Rhymney,2,Can speak and other combinations of skills in Welsh,1486
W07000084,Blaenau Gwent and Rhymney,3,Other combination of skills in Welsh,1201
W07000084,Blaenau Gwent and Rhymney,4,No skills in Welsh,81349
W07000085,"Brecon, Radnor and Cwm Tawe",-8,Does not apply,2230
W07000085,"Brecon, Radnor and Cwm Tawe",0,Can understand spoken Welsh only,6384
W07000085,"Brecon, Radnor and Cwm Tawe",1,"Can speak, read and write Welsh",12172
W07000085,"Brecon, Radnor and Cwm Tawe",2,Can speak and other combinations of skills in Welsh,4252
W07000085,"Brecon, Radnor and Cwm Tawe",3,Other combination of skills in Welsh,2087
W07000085,"Brecon, Radnor and Cwm Tawe",4,No skills in Welsh,64929
W07000086,Bridgend,-8,Does not apply,2708
W07000086,Bridgend,0,Can understand spoken Welsh only,3663
W07000086,Bridgend,1,"Can speak, read and write Welsh",6564
W07000086,Bridgend,2,Can speak and other combinations of skills in Welsh,1859
W07000086,Bridgend,3,Other combination of skills in Welsh,2276
W07000086,Bridgend,4,No skills in Welsh,77986
W07000087,Caerfyrddin,-8,Does not apply,2433
W07000087,Caerfyrddin,0,Can understand spoken Welsh only,9462
W07000087,Caerfyrddin,1,"Can speak, read and write Welsh",32563
W07000087,Caerfyrddin,2,Can speak and other combinations of skills in Welsh,8841
W07000087,Caerfyrddin,3,Other combination of skills in Welsh,2180
W07000087,Caerfyrddin,4,No skills in Welsh,38370
W07000088,Caerphilly,-8,Does not apply,2855
W07000088,Caerphilly,0,Can understand spoken Welsh only,3198
W07000088,Caerphilly,1,"Can speak, read and write Welsh",9091
W07000088,Caerphilly,2,Can speak and other combinations of skills in Welsh,1972
W07000088,Caerphilly,3,Other combination of skills in Welsh,1782
W07000088,Caerphilly,4,No skills in Welsh,77475
W07000089,Cardiff East,-8,Does not apply,3234
W07000089,Cardiff East,0,Can understand spoken Welsh only,3116
W07000089,Cardiff East,1,"Can speak, read and write Welsh",8325
W07000089,Cardiff East,2,Can speak and other combinations of skills in Welsh,1908
W07000089,Cardiff East,3,Other combination of skills in Welsh,2209
W07000089,Cardiff East,4,No skills in Welsh,89216
W07000090,Cardiff North,-8,Does not apply,2781
W07000090,Cardiff North,0,Can understand spoken Welsh only,3237
W07000090,Cardiff North,1,"Can speak, read and write Welsh",10481
W07000090,Cardiff North,2,Can speak and other combinations of skills in Welsh,2042
W07000090,Cardiff North,3,Other combination of skills in Welsh,1876
W07000090,Cardiff North,4,No skills in Welsh,73474
W07000091,Cardiff South and Penarth,-8,Does not apply,2850
W07000091,Cardiff South and Penarth,0,Can understand spoken Welsh only,3112
W07000091,Cardiff South and Penarth,1,"Can speak, read and write Welsh",9029
W07000091,Cardiff South and Penarth,2,Can speak and other combinations of skills in Welsh,1935
W07000091,Cardiff South and Penarth,3,Other combination of skills in Welsh,2239
W07000091,Cardiff South and Penarth,4,No skills in Welsh,87292
W07000092,Cardiff West,-8,Does not apply,3436
W07000092,Cardiff West,0,Can understand spoken Welsh only,3548
W07000092,Cardiff West,1,"Can speak, read and write Welsh",12742
W07000092,Cardiff West,2,Can speak and other combinations of skills in Welsh,2400
W07000092,Cardiff West,3,Other combination of skills in Welsh,2075
W07000092,Cardiff West,4,No skills in Welsh,78304
W07000093,Ceredigion Preseli,-8,Does not apply,2054
W07000093,Ceredigion Preseli,0,Can understand spoken Welsh only,7959
W07000093,Ceredigion Preseli,1,"Can speak, read and write Welsh",33239
W07000093,Ceredigion Preseli,2,Can speak and other combinations of skills in Welsh,7382
W07000093,Ceredigion Preseli,3,Other combination of skills in Welsh,2360
W07000093,Ceredigion Preseli,4,No skills in Welsh,40827
W07000094,Clwyd East,-8,Does not apply,2517
W07000094,Clwyd East,0,Can understand spoken Welsh only,6613
W07000094,Clwyd East,1,"Can speak, read and write Welsh",13433
W07000094,Clwyd East,2,Can speak and other combinations of skills in Welsh,3921
W07000094,Clwyd East,3,Other combination of skills in Welsh,2348
W07000094,Clwyd East,4,No skills in Welsh,67284
W07000095,Clwyd North,-8,Does not apply,2882
W07000095,Clwyd North,0,Can understand spoken Welsh only,7748
W07000095,Clwyd North,1,"Can speak, read and write Welsh",13552
W07000095,Clwyd North,2,Can speak and other combinations of skills in Welsh,4263
W07000095,Clwyd North,3,Other combination of skills in Welsh,2387
W07000095,Clwyd North,4,No skills in Welsh,69145
W07000096,Dwyfor Meirionnydd,-8,Does not apply,2463
W07000096,Dwyfor Meirionnydd,0,Can understand spoken Welsh only,5970
W07000096,Dwyfor Meirionnydd,1,"Can speak, read and write Welsh",53989
W07000096,Dwyfor Meirionnydd,2,Can speak and other combinations of skills in Welsh,8273
W07000096,Dwyfor Meirionnydd,3,Other combination of skills in Welsh,1966
W07000096,Dwyfor Meirionnydd,4,No skills in Welsh,21818
W07000097,Gower,-8,Does not apply,2387
W07000097,Gower,0,Can understand spoken Welsh only,5540
W07000097,Gower,1,"Can speak, read and write Welsh",9438
W07000097,Gower,2,Can speak and other combinations of skills in Welsh,2960
W07000097,Gower,3,Other combination of skills in Welsh,2224
W07000097,Gower,4,No skills in Welsh,73715
W07000098,Llanelli,-8,Does not apply,2745
W07000098,Llanelli,0,Can understand spoken Welsh only,10533
W07000098,Llanelli,1,"Can speak, read and write Welsh",23930
W07000098,Llanelli,2,Can speak and other combinations of skills in Welsh,7504
W07000098,Llanelli,3,Other combination of skills in Welsh,2419
W07000098,Llanelli,4,No skills in Welsh,46917
W07000099,Merthyr Tydfil and Aberdare,-8,Does not apply,3174
W07000099,Merthyr Tydfil and Aberdare,0,Can understand spoken Welsh only,3936
W07000099,Merthyr Tydfil and Aberdare,1,"Can speak, read and write Welsh",7508
W07000099,Merthyr Tydfil and Aberdare,2,Can speak and other combinations of skills in Welsh,1936
W07000099,Merthyr Tydfil and Aberdare,3,Other combination of skills in Welsh,2208
W07000099,Merthyr Tydfil and Aberdare,4,No skills in Welsh,80890
W07000100,Mid and South Pembrokeshire,-8,Does not apply,2662
W07000100,Mid and South Pembrokeshire,0,Can understand spoken Welsh only,5348
W07000100,Mid and South Pembrokeshire,1,"Can speak, read and write Welsh",8482
W07000100,Mid and South Pembrokeshire,2,Can speak and other combinations of skills in Welsh,3201
W07000100,Mid and South Pembrokeshire,3,Other combination of skills in Welsh,1772
W07000100,Mid and South Pembrokeshire,4,No skills in Welsh,79549
W07000101,Monmouthshire,-8,Does not apply,2267
W07000101,Monmouthshire,0,Can understand spoken Welsh only,2273
W07000101,Monmouthshire,1,"Can speak, read and write Welsh",6133
W07000101,Monmouthshire,2,Can speak and other combinations of skills in Welsh,1719
W07000101,Monmouthshire,3,Other combination of skills in Welsh,1422
W07000101,Monmouthshire,4,No skills in Welsh,79140
W07000102,Montgomeryshire and Glyndwr,-8,Does not apply,2729
W07000102,Montgomeryshire and Glyndwr,0,Can understand spoken Welsh only,6565
W07000102,Montgomeryshire and Glyndwr,1,"Can speak, read and write Welsh",13182
W07000102,Montgomeryshire and Glyndwr,2,Can speak and other combinations of skills in Welsh,3935
W07000102,Montgomeryshire and Glyndwr,3,Other combination of skills in Welsh,2318
W07000102,Montgomeryshire and Glyndwr,4,No skills in Welsh,69061
W07000103,Neath and Swansea East,-8,Does not apply,2794
W07000103,Neath and Swansea East,0,Can understand spoken Welsh only,5147
W07000103,Neath and Swansea East,1,"Can speak, read and write Welsh",8585
W07000103,Neath and Swansea East,2,Can speak and other combinations of skills in Welsh,2674
W07000103,Neath and Swansea East,3,Other combination of skills in Welsh,2311
W07000103,Neath and Swansea East,4,No skills in Welsh,78017
W07000104,Newport East,-8,Does not apply,4082
W07000104,Newport East,0,Can understand spoken Welsh only,2513
W07000104,Newport East,1,"Can speak, read and write Welsh",5674
W07000104,Newport East,2,Can speak and other combinations of skills in Welsh,1902
W07000104,Newport East,3,Other combination of skills in Welsh,1436
W07000104,Newport East,4,No skills in Welsh,94478
W07000105,Newport West and Islwyn,-8,Does not apply,3097
W07000105,Newport West and Islwyn,0,Can understand spoken Welsh only,2609
W07000105,Newport West and Islwyn,1,"Can speak, read and write Welsh",6474
W07000105,Newport West and Islwyn,2,Can speak and other combinations of skills in Welsh,1839
W07000105,Newport West and Islwyn,3,Other combination of skills in Welsh,1437
W07000105,Newport West and Islwyn,4,No skills in Welsh,86133
W07000106,Pontypridd,-8,Does not apply,3210
W07000106,Pontypridd,0,Can understand spoken Welsh only,3807
W07000106,Pontypridd,1,"Can speak, read and write Welsh",11019
W07000106,Pontypridd,2,Can speak and other combinations of skills in Welsh,2215
W07000106,Pontypridd,3,Other combination of skills in Welsh,2108
W07000106,Pontypridd,4,No skills in Welsh,79078
W07000107,Rhondda and Ogmore,-8,Does not apply,3068
W07000107,Rhondda and Ogmore,0,Can understand spoken Welsh only,3626
W07000107,Rhondda and Ogmore,1,"Can speak, read and write Welsh",8328
W07000107,Rhondda and Ogmore,2,Can speak and other combinations of skills in Welsh,2084
W07000107,Rhondda and Ogmore,3,Other combination of skills in Welsh,2333
W07000107,Rhondda and Ogmore,4,No skills in Welsh,80628
W07000108,Swansea West,-8,Does not apply,3055
W07000108,Swansea West,0,Can understand spoken Welsh only,3944
W07000108,Swansea West,1,"Can speak, read and write Welsh",7109
W07000108,Swansea West,2,Can speak and other combinations of skills in Welsh,2072
W07000108,Swansea West,3,Other combination of skills in Welsh,2171
W07000108,Swansea West,4,No skills in Welsh,86192
W07000109,Torfaen,-8,Does not apply,2896
W07000109,Torfaen,0,Can understand spoken Welsh only,2007
W07000109,Torfaen,1,"Can speak, read and write Welsh",5783
W07000109,Torfaen,2,Can speak and other combinations of skills in Welsh,1583
W07000109,Torfaen,3,Other combination of skills in Welsh,1190
W07000109,Torfaen,4,No skills in Welsh,78817
W07000110,Vale of Glamorgan,-8,Does not apply,2870
W07000110,Vale of Glamorgan,0,Can understand spoken Welsh only,3114
W07000110,Vale of Glamorgan,1,"Can speak, read and write Welsh",8506
W07000110,Vale of Glamorgan,2,Can speak and other combinations of skills in Welsh,1967
W07000110,Vale of Glamorgan,3,Other combination of skills in Welsh,1629
W07000110,Vale of Glamorgan,4,No skills in Welsh,76304
W07000111,Wrexham,-8,Does not apply,2919
W07000111,Wrexham,0,Can understand spoken Welsh only,4648
W07000111,Wrexham,1,"Can speak, read and write Welsh",8026
W07000111,Wrexham,2,Can speak and other combinations of skills in Welsh,2629
W07000111,Wrexham,3,Other combination of skills in Welsh,2118
W07000111,Wrexham,4,No skills in Welsh,78738
W07000112,Ynys Môn,-8,Does not apply,1792
W07000112,Ynys Môn,0,Can understand spoken Welsh only,7468
W07000112,Ynys Môn,1,"Can speak, read and write Welsh",30316
W07000112,Ynys Môn,2,Can speak and other combinations of skills in Welsh,7094
W07000112,Ynys Môn,3,Other combination of skills in Welsh,1584
W07000112,Ynys Môn,4,No skills in Welsh,20621
